post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class
"13X5.00-6 – Knobby Tire – Coleman CK100, TaoTao GK80 EK80 E1-350 E1-500 – Tubeless",13x500-6__knobby_tire__coleman_ck100_taotao_gk80_ek80_e1-350_e1-500__tubeless,,,"<h2>Description</h2> <p><strong>Chinese ATV and Go-Kart Tire</strong></p> <p>Chinese tire fits many makes and models of ATVs &amp; go karts. Universal to fit both front/rear and right/left.  Please use pictures and measurements to make sure this is the tire you are needing.</p> <p>Tire details:</p> <ul>
<li>Size: 13X5.00-6   13/5-6</li>
<li>Tubeless</li>
<li>Tire diameter: 13″</li>
<li>Tire width: 5″</li>
<li>Used with 6″ diameter rim</li>
<li>2-ply</li>
<li>Aggressive knobby tire tread for better traction</li>
<li>Universal front/rear</li>
<li>Universal left/right</li>
<li>Approximately 8mm of tread</li>
<li>Max inflate to 20 psi</li>
<li>41121-J00000-4100</li>
<li>102744  109488</li>
</ul> <p>Fits the Coleman CK100, Coleman SK100, HiSun HS100GK, Tao Tao GK80 and EK80 go-karts.</p> <p>Fits the Tao Tao E1-350, E2-350, E1-500, E2-500 electric atvs.</p>",,publish,,,2023-04-01 07:20:29,,open,,,,no,no,,$30.00,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,https://rhapsodybikeparts.com/wp-content/uploads/2021/12/13X5.00-6_-_Knobby_Tire_-_Coleman_CK100_Tao_Tao_GK80._EK80_Go-Kart_-_Version_104_a_1024x1024.jpg,,,,,,,Go-Kart Tires,"13X5.00-6 – Knobby Tire – Coleman CK100, TaoTao GK80 EK80 E1-350 E1-500 – Tubeless",
16X6.00-8 V-Tread ATV / Go-Kart Tire – Version 17,16x600-8_v-tread_atv__go-kart_tire__version_17,,,"<h2>Description</h2> <p>Chinese tubeless replacement tire fits many makes and models of ATVs &amp; go karts.  Universal to fit both front/rear and right/left.  Please use pictures and measurements to make sure this is the tire you are needing.</p> <p>Tire details:</p> <ul>
<li>Size: 16X6.00-8</li>
<li>Tire diameter: 16″</li>
<li>Tire width: 6″</li>
<li>Used with 8″ diameter rim</li>
<li>Aggressive tire tread for better traction</li>
<li>Universal front/rear</li>
<li>Universal left/right</li>
<li>4 ply</li>
<li>These are a directional tire – “V” should point towards the front of machine</li>
</ul>",,publish,,,2023-04-01 07:20:29,,open,,,,no,no,,$49.00,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,https://rhapsodybikeparts.com/wp-content/uploads/2021/12/Tire_Wheel_V_1_1024x1024.jpg,,,,,,,Go-Kart Tires,"13X5.00-6 – Knobby Tire – Coleman CK100, TaoTao GK80 EK80 E1-350 E1-500 – Tubeless, 16X6.00-8 V-Tread ATV / Go-Kart Tire – Version 17",
16X8-7 AMS Swamp Fox ATV / Go-Kart Tire – [0320-0735],16x8-7_ams_swamp_fox_atv__go-kart_tire__0320-0735,,,"<h2>Description</h2> <p><strong>AMS Swamp Fox ATV Tire – 16X8-7 – [0320-0735]</strong></p> <p>Details:</p> <ul class=""product_bullets"">
<li>Front/Rear – 16X8-7</li>
<li><strong>TIRE ONLY – does not include the rim</strong></li>
<li>Advanced tread design goes through the most difficult terrain without bogging down</li>
<li>Computer-enhanced tread pattern for stability and traction at any speed</li>
<li>Reduced weight and deep tread reduces stress on drivetrain parts</li>
<li>Dimpled, reinforced lugs give more biting edges for exceptional grip on muddy and hard-pack surfaces</li>
<li>Aggressive shoulder knobs add side bite in deep ruts and protect against punctures</li>
<li>Rugged 6-ply natural rubber compound for superior puncture resistance and maximum durability</li>
<li>5/8″ tread depth</li>
</ul>",,publish,,,2023-04-01 07:20:29,,open,,,,no,no,,$58.00,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,https://rhapsodybikeparts.com/wp-content/uploads/2021/12/03200735_grande.jpg,,,,,,,Go-Kart Tires,"13X5.00-6 – Knobby Tire – Coleman CK100, TaoTao GK80 EK80 E1-350 E1-500 – Tubeless, 16X6.00-8 V-Tread ATV / Go-Kart Tire – Version 17, 16X8-7 AMS Swamp Fox ATV / Go-Kart Tire – [0320-0735]",
16X8-7 Knobby ATV / Go-Kart Tire – Version 16,16x8-7_knobby_atv__go-kart_tire__version_16,,,"<h2>Description</h2> <p>Chinese tubeless replacement tire fits many makes and models of ATVs &amp; go karts.  Universal to fit both front/rear and right/left.  Please use pictures and measurements to make sure this is the tire you are needing.</p> <p>Tire details:</p> <ul>
<li>Size: 16X8-7  16×8.00-7  16/8-7</li>
<li>Tire diameter: 16″</li>
<li>Tire width: 8″</li>
<li>Used with 7″ diameter rim</li>
<li>Universal front/rear</li>
<li>Universal left/right</li>
</ul>",,publish,,,2023-04-01 07:20:29,,open,,,,no,no,,$44.00,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,https://rhapsodybikeparts.com/wp-content/uploads/2021/12/16X8-7_Knobby_ATV_Go-Kart_Tire_-_Version_16_2_grande.jpg,,,,,,,Go-Kart Tires,"13X5.00-6 – Knobby Tire – Coleman CK100, TaoTao GK80 EK80 E1-350 E1-500 – Tubeless, 16X6.00-8 V-Tread ATV / Go-Kart Tire – Version 17, 16X8-7 AMS Swamp Fox ATV / Go-Kart Tire – [0320-0735], 16X8-7 Knobby ATV / Go-Kart Tire – Version 16",
16X8-7 V-Tread ATV / Go-Kart Tire – Version 15,16x8-7_v-tread_atv__go-kart_tire__version_15,,,"<h2>Description</h2> <p>Chinese tubeless replacement tire fits many makes and models of ATVs &amp; go karts.  Universal to fit both front/rear and right/left.  Please use pictures and measurements to make sure this is the tire you are needing.</p> <p>Tire details:</p> <ul>
<li>Size: 16X8-7</li>
<li>Fits wheel size: 7″ outer diameter</li>
<li>Aggressive tire tread for better traction</li>
<li>Universal front/rear</li>
<li>Universal left/right</li>
<li>These are a directional tire – “V” should point towards the front of machine</li>
</ul>",,publish,,,2023-04-01 07:20:29,,open,,,,no,no,,$43.00,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,https://rhapsodybikeparts.com/wp-content/uploads/2021/12/16X8-7_V-Tread_ATV_Go-Kart_Tire_-_Version_15_2_grande.jpg,,,,,,,Go-Kart Tires,"13X5.00-6 – Knobby Tire – Coleman CK100, TaoTao GK80 EK80 E1-350 E1-500 – Tubeless, 16X6.00-8 V-Tread ATV / Go-Kart Tire – Version 17, 16X8-7 AMS Swamp Fox ATV / Go-Kart Tire – [0320-0735], 16X8-7 Knobby ATV / Go-Kart Tire – Version 16, 16X8-7 V-Tread ATV / Go-Kart Tire – Version 15",
"2021 SSR 125 Pit Bike, Fully Automatic, Electric Start",2021_ssr_125_pit_bike_fully_automatic_electric_start,,,"<h2>Description</h2> <p> </p> <ul>
<li>
<div align=""justify"">124cc 4-stroke, Air-Cooled</div>
</li>
<li>
<div align=""justify"">8.5 horsepower</div>
</li>
<li>
<div align=""justify"">Fully-Automatic</div>
</li>
<li>
<div align=""justify"">Electric Start</div>
</li>
<li>
<div align=""justify"">Final Drive: Chain</div>
</li>
<li>
<div align=""justify"">Brakes, F/R: Disc</div>
</li>
<li>
<div align=""justify"">Tire Size (F&amp;R): 14/12</div>
</li>
<li>
<div align=""justify"">Wheelbase: 44</div>
</li>
<li>
<div align=""justify"">Seat Height: 29</div>
</li>
<li>
<div align=""justify"">Ground Clearance: 10.25</div>
</li>
<li>Vehicle Weight: 170lbs</li>
</ul> <p><strong>SPECIFICATIONS: </strong><strong><br/>
</strong></p>",,publish,,,2023-04-01 07:20:29,,open,,,,no,no,,"$1,250.00",,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,https://rhapsodybikeparts.com/wp-content/uploads/2022/02/BikeSR125Auto.jpg,,,,,,,Mini Bike Parts,"13X5.00-6 – Knobby Tire – Coleman CK100, TaoTao GK80 EK80 E1-350 E1-500 – Tubeless, 16X6.00-8 V-Tread ATV / Go-Kart Tire – Version 17, 16X8-7 AMS Swamp Fox ATV / Go-Kart Tire – [0320-0735], 16X8-7 Knobby ATV / Go-Kart Tire – Version 16, 16X8-7 V-Tread ATV / Go-Kart Tire – Version 15, 2021 SSR 125 Pit Bike, Fully Automatic, Electric Start",
"3540 Mini Bike Kit, 5 in. Aluminum Wheels",3540_mini_bike_kit_5_in_aluminum_wheels,,,"<h2>Description</h2> <h2>MINIBIKE KIT</h2> <p>made in USA since 1960.</p> <p><strong>EVERYTHING INCLUDED</strong>: Except Engine and Clutch.</p> <p><strong>INCLUDED</strong>: Frame, Fork, 5 in. Aluminum Wheels, Tires, Innertubes, Drum Brake , Brake Lever, Brake Cable, 60T Sprocket, #35 Chain, Throttle Controls, Padded Seat and all Hardware.</p> <p>Add <u>Engine</u> and <u> Clutch </u>below to complete kit</p> <p>the video is not of this kit! It’s shown as a great example of what you can do with our minibike parts and kits.  Good Job!</p> <p>Painting and Assembly Required  <a href=""https://cdn.shopify.com/s/files/1/0070/8627/6679/files/MBAssembly_1.pdf?v=1623524051"" rel=""noopener"" target=""_blank"" title=""view assembly manual"">Assembly Manual</a></p> <p>Remember the Old School Minibikes of the 60s? Like Taco, Bonanza and Rupp? <a href=""https://cdn.shopify.com/s/files/1/0070/8627/6679/files/Minibike_WARNING_1.pdf?v=1623524500"">MINIBIKE WARNING</a></p> <p>Those of you who grew up in the 60’s remember Minibikes as a wonderful part of childhood. Boy’s who were fortunate enough to own one couldn’t wait to get out of school and go down to the local field to ride.</p> <p>SPECS:</p> <ul>
<li>Will accept a 2 to 6hp Engine</li>
<li>4 1/2″ Internal Expanding Brake</li>
<li>60T Sprocket / Brake Drum Combo</li>
<li>5″ Aluminum Split Rim Mag style Wheels</li>
<li>4 Bearings, 2 each wheel</li>
<li>Front tire: 4.10 x 3.50 x 5″ – Sawtooth</li>
<li>Rear tire: 4.10 x 3.50 x 5″ – Knobby</li>
<li>Front and Rear Innertubes</li>
<li>Front &amp; Rear Axles</li>
<li>#35 chain with master link</li>
<li>Deluxe Throttle Control, Grips and Cable</li>
<li>Brake Lever and Cable</li>
<li>Deluxe Padded Seat</li>
<li>Hardware Kit</li>
<li>Low cost, High Quality, MADE-IN-USA</li>
<li>Rugged Construction</li>
<li>Ready to paint and assemble with basic hand tools</li>
</ul>",,publish,,,2023-04-01 07:20:29,,open,,,,no,no,,"$1,250.00",,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,https://rhapsodybikeparts.com/wp-content/uploads/2022/02/Mini_Bike_Kit_5_Inch_Wheels_with_Engine5L.2-800x574.jpg,,,,,,,Mini Bike Parts,"13X5.00-6 – Knobby Tire – Coleman CK100, TaoTao GK80 EK80 E1-350 E1-500 – Tubeless, 16X6.00-8 V-Tread ATV / Go-Kart Tire – Version 17, 16X8-7 AMS Swamp Fox ATV / Go-Kart Tire – [0320-0735], 16X8-7 Knobby ATV / Go-Kart Tire – Version 16, 16X8-7 V-Tread ATV / Go-Kart Tire – Version 15, 2021 SSR 125 Pit Bike, Fully Automatic, Electric Start, 3540 Mini Bike Kit, 5 in. Aluminum Wheels",
"357 Magnum Mini Bike Kit, 6″ Mag Wheels",357_magnum_mini_bike_kit_6_mag_wheels,,,"<h2>Description</h2> <h2>357 MAGNUM KIT</h2> <p>Everything you need is included in this kit except engine and clutch.</p> <p><em>Add a Clutch in <strong> Product Options, </strong> Then scroll down to add an Engine.</em></p> <p>Back in the 60’s, it was every boys dream to have a minibike. We could not wait to get home from school and go down to the field and ride.</p> <p>The 357 minibike is designed after the Taco 22 as sold by Steen’s back in the days of Taco, Bonanza, Rupp and a host of others.</p> <p><strong>WARNING</strong> Death or Injury may occur. <a href=""https://gokartsusa.com/pdf/Minibike_WARNING.pdf""> Mini Bike Warning</a></p> <p>INCLUDED WITH THIS KIT</p> <ul>
<li>FRAME</li>
<li>FORK and BOLT</li>
<li>WHEELS</li>
<li>TIRES</li>
<li>INNER TUBES</li>
<li>SEAT</li>
<li>BRAKE</li>
<li>SPROCKET</li>
<li>CHAIN</li>
<li>THROTTLE CONTROLS</li>
<li>BRAKE CONTROLS</li>
<li>AXLES</li>
<li>KICKSTAND</li>
<li>HARDWARE</li>
</ul> <p>Supports Titan, Honda, Predator 6.5hp Engine | Comes with 6″ Mag Wheels | High Quality | All Parts Available | MADE-IN-USA</p> <p>Download the <a href=""https://gokartsusa.com/pdf/MBAssembly.pdf"">ASSEMBLY GUIDE</a></p> <p><strong>SPECIFICATIONS:</strong></p> <ul>
<li>6.5hp Engine, 196cc (Not Included)</li>
<li>Centrifugal Clutch (Not Included)</li>
<li>6″ Astro Mag Wheels</li>
<li>1″ Heavy Duty Frame</li>
<li>#35 Chain with 72T Sprocket</li>
<li>4-1/2″ Drum Brake</li>
<li>Tires: F / R: Knobby</li>
<li>Aluminum Kickstand</li>
<li>Bike Weight: 75 lbs</li>
<li>Max load: 230 lbs</li>
<li>Wheelbase: 36</li>
<li>Seat Height: 26″</li>
<li>Ground Clearance: 7″</li>
</ul> <p> </p> <p>WARNING DEATH OR INJURY<br/>
can result from improper maintenance or use of this product. for use on Close Course Competition only and is NOT street legal. Must be 16 years of age with proper Adult Supervision. See additional safety and warning information, click on Minibike Warning below and INFO above</p> <p>BUILDER NOTES:<br/>
A stock engine may not fit on this frame unless you remove the Gas Tank. Most stock 4-7hp engines including Honda GX120/160/200, Titan TX200 with side-fill tank, Predator 212 and others can be installed by removing the stock Gas Tank, Air Filter and Exhaust and installing an external Gas Tank and our Mikuni Stage 1 kit with Fatty or Stinger Exhaust Header</p> <p><strong>Custom Bike Pictured with the Stage 1 kit, not included</strong>. Use the Mikuni stage 1 kit with Fatty or Stinger to install a 22mm Mikuni Carburetor on your Honda GX120, GX160, GX200 or clone including Predator and Titan engine. Kit includes: Intake Manifold, 22mm Genuine Mikuni Carb, High Flow Air Filter and Fatty Exhaust Header Pipe.</p>",,publish,,,2023-04-01 07:20:29,,open,,,,no,no,,"$1,250.00",,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,https://rhapsodybikeparts.com/wp-content/uploads/2022/02/little_badass_minibike_357-magnum_minibike.jpg,,,,,,,Mini Bike Parts,"13X5.00-6 – Knobby Tire – Coleman CK100, TaoTao GK80 EK80 E1-350 E1-500 – Tubeless, 16X6.00-8 V-Tread ATV / Go-Kart Tire – Version 17, 16X8-7 AMS Swamp Fox ATV / Go-Kart Tire – [0320-0735], 16X8-7 Knobby ATV / Go-Kart Tire – Version 16, 16X8-7 V-Tread ATV / Go-Kart Tire – Version 15, 2021 SSR 125 Pit Bike, Fully Automatic, Electric Start, 3540 Mini Bike Kit, 5 in. Aluminum Wheels, 357 Magnum Mini Bike Kit, 6″ Mag Wheels",
6″ x 2.5″ Front Rim Assy for Coleman KT196 and HiSun HS200GK Go-Kart – Version 195FT,6_x_25_front_rim_assy_for_coleman_kt196_and_hisun_hs200gk_go-kart__version_195ft,,,"<h2>Description</h2> <p><strong>Front Rim Assy for Coleman KT196 and HiSun HS200GK Go-Kart</strong></p> <p><strong>Version 195FT</strong></p> <p>This front rim assembly fits the 2015 model year and up Coleman KT196 and the HiSun HS200GK go-kart.</p> <p>Rim details:</p> <ul>
<li>Front</li>
<li>Black</li>
<li>6 x 2.5</li>
<li>Overall width: 76mm [2.99″]</li>
<li>Overall diameter: 173mm [6.81″]</li>
<li>Diameter without bead lip: 166mm [6.54″]</li>
<li>Uses 6201RS and 6002RS bearings</li>
<li>Used with 145/70-6 tires</li>
<li>41120-132-0P00</li>
</ul> <p>Fits Coleman KT196 go-kart.  May fit other makes and models of mini bikes.  Please look at pictures and check description before ordering.</p>",,publish,,,2023-04-01 07:20:29,,open,,,,no,no,,$40.00,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,https://rhapsodybikeparts.com/wp-content/uploads/2021/12/Chinese_6x2.5_Front_Rim_Assy_for_Coleman_KT196_and_HiSun_HS200GK_Go-Kart_-_Version_195FT_2_1024x1024-800x800.jpg,,,,,,,Wheels,"13X5.00-6 – Knobby Tire – Coleman CK100, TaoTao GK80 EK80 E1-350 E1-500 – Tubeless, 16X6.00-8 V-Tread ATV / Go-Kart Tire – Version 17, 16X8-7 AMS Swamp Fox ATV / Go-Kart Tire – [0320-0735], 16X8-7 Knobby ATV / Go-Kart Tire – Version 16, 16X8-7 V-Tread ATV / Go-Kart Tire – Version 15, 2021 SSR 125 Pit Bike, Fully Automatic, Electric Start, 3540 Mini Bike Kit, 5 in. Aluminum Wheels, 357 Magnum Mini Bike Kit, 6″ Mag Wheels, 6″ x 2.5″ Front Rim Assy for Coleman KT196 and HiSun HS200GK Go-Kart – Version 195FT",
6″ x 3.25″ Front Rim Assy for Coleman CK100 and HiSun HS100GK Go-Kart – Version 99FT,6_x_325_front_rim_assy_for_coleman_ck100_and_hisun_hs100gk_go-kart__version_99ft,,,"<h2>Description</h2> <p><strong>Front Rim Assy for Coleman CK100, SK100 and HiSun HS100GK Go-Kart</strong></p> <p><strong>Version 99FT</strong></p> <p>This front rim assembly fits the Coleman CK100, SK100 and the HiSun HS100 go-kart.  Please check pictures and description before ordering.</p> <p>Rim details:</p> <ul>
<li>Front</li>
<li>Black</li>
<li>6 x 3.25</li>
<li>Overall width: 93.5mm [3.68″]</li>
<li>Overall diameter: 173mm [6.81″]</li>
<li>Diameter without bead lip: 166mm [6.54″]</li>
<li>Inside diameter: 15mm [.59″]</li>
<li>Uses two 6002RS bearings</li>
<li>Used with 13×5-6 tires</li>
<li>41122-J00000-24AA</li>
<li>FS-10045</li>
</ul> <p>Fits Coleman CK100 go-kart.  May fit other makes and models of mini bikes.  Please look at pictures and check description before ordering.</p>",,publish,,,2023-04-01 07:20:29,,open,,,,no,no,,$47.00,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,https://rhapsodybikeparts.com/wp-content/uploads/2021/12/Chinese_6x3.25_Front_Rim_Assy_for_Coleman_CK100_and_HiSun_HS100GK_Go-Kart_-_Version_99FT_2_grande.jpg,,,,,,,Wheels,"13X5.00-6 – Knobby Tire – Coleman CK100, TaoTao GK80 EK80 E1-350 E1-500 – Tubeless, 16X6.00-8 V-Tread ATV / Go-Kart Tire – Version 17, 16X8-7 AMS Swamp Fox ATV / Go-Kart Tire – [0320-0735], 16X8-7 Knobby ATV / Go-Kart Tire – Version 16, 16X8-7 V-Tread ATV / Go-Kart Tire – Version 15, 2021 SSR 125 Pit Bike, Fully Automatic, Electric Start, 3540 Mini Bike Kit, 5 in. Aluminum Wheels, 357 Magnum Mini Bike Kit, 6″ Mag Wheels, 6″ x 2.5″ Front Rim Assy for Coleman KT196 and HiSun HS200GK Go-Kart – Version 195FT, 6″ x 3.25″ Front Rim Assy for Coleman CK100 and HiSun HS100GK Go-Kart – Version 99FT",
